SysDate-ms	SysDate	SysTime-ms	SameValues	Q3	Rm	Q2	Rp	Q1	Am	U3	Ap	Pm	U2	U1	Pp	Q4	
02/15/2018 18:49:37 000	02/15/2018 18:49:37	000	0														
02/15/2018 18:49:38 000	02/15/2018 18:49:38	000	1														
02/15/2018 18:49:39 001	02/15/2018 18:49:39	001	1														
02/15/2018 18:49:40 001	02/15/2018 18:49:40	001	1														
02/15/2018 18:49:41 001	02/15/2018 18:49:41	001	1														
02/15/2018 18:49:42 000	02/15/2018 18:49:42	000	1														
02/15/2018 18:49:43 000	02/15/2018 18:49:43	000	0							232.99			233.42000000000002	230.03			
02/15/2018 18:49:44 000	02/15/2018 18:49:44	000	0	4	4283100.2	13	73543.3	47	14.3	232.99	2.1723943200000003E7	75	233.42000000000002	230.03	94	92	
02/15/2018 18:49:45 001	02/15/2018 18:49:45	001	0	4	4283100.2	13	73543.3	47	14.3	233.18	2.1723943200000003E7	75	233.64000000000001	230.26	94	92	
02/15/2018 18:49:46 001	02/15/2018 18:49:46	001	1	4	4283100.2	13	73543.3	47	14.3	233.18	2.1723943200000003E7	75	233.64000000000001	230.26	94	92	
02/15/2018 18:49:47 000	02/15/2018 18:49:47	000	0	4	4283100.2	13	73543.3	47	14.3	233.07	2.1723943200000003E7	75	233.78	230.24	94	92	
02/15/2018 18:49:48 001	02/15/2018 18:49:48	001	1	4	4283100.2	13	73543.3	47	14.3	233.07	2.1723943200000003E7	75	233.78	230.24	94	92	
02/15/2018 18:49:49 001	02/15/2018 18:49:49	001	0	4	4283100.2	13	73543.3	47	14.3	233.21	2.1723943200000003E7	75	233.68	230.05	94	92	
02/15/2018 18:49:50 001	02/15/2018 18:49:50	001	1	4	4283100.2	13	73543.3	47	14.3	233.21	2.1723943200000003E7	75	233.68	230.05	94	92	
02/15/2018 18:49:51 000	02/15/2018 18:49:51	000	0	4	4283100.2	13	73543.3	47	14.3	233.53	2.1723943200000003E7	75	234.08	229.72	94	92	
02/15/2018 18:49:52 001	02/15/2018 18:49:52	001	1	4	4283100.2	13	73543.3	47	14.3	233.53	2.1723943200000003E7	75	234.08	229.72	94	92	
02/15/2018 18:49:53 001	02/15/2018 18:49:53	001	0	4	4283100.2	13	73543.3	47	14.3	233.32	2.1723943200000003E7	75	233.53	229.75	94	92	
02/15/2018 18:49:54 000	02/15/2018 18:49:54	000	1	4	4283100.2	13	73543.3	47	14.3	233.32	2.1723943200000003E7	75	233.53	229.75	94	92	
02/15/2018 18:49:55 001	02/15/2018 18:49:55	001	0	4	4283100.2	13	73543.3	47	14.3	233.53	2.1723943200000003E7	75	233.6	230.20000000000002	94	92	
02/15/2018 18:49:56 000	02/15/2018 18:49:56	000	1	4	4283100.2	13	73543.3	47	14.3	233.53	2.1723943200000003E7	75	233.6	230.20000000000002	94	92	
02/15/2018 18:49:57 001	02/15/2018 18:49:57	001	0	4	4283100.2	13	73543.3	47	14.3	233.08	2.1723943200000003E7	75	233.29	229.92000000000002	94	92	
02/15/2018 18:49:58 001	02/15/2018 18:49:58	001	1	4	4283100.2	13	73543.3	47	14.3	233.08	2.1723943200000003E7	75	233.29	229.92000000000002	94	92	
02/15/2018 18:49:59 000	02/15/2018 18:49:59	000	0	4	4283100.2	13	73543.3	47	14.3	233.03	2.1723943200000003E7	75	233.82	230.25	94	92	
02/15/2018 18:50:00 000	02/15/2018 18:50:00	000	1	4	4283100.2	13	73543.3	47	14.3	233.03	2.1723943200000003E7	75	233.82	230.25	94	92	
02/15/2018 18:50:01 000	02/15/2018 18:50:01	000	0	4	4283100.2	13	73543.3	47	14.3	232.67000000000002	2.1723943200000003E7	75	233.59	229.91	94	92	
02/15/2018 18:50:02 001	02/15/2018 18:50:02	001	1	4	4283100.2	13	73543.3	47	14.3	232.67000000000002	2.1723943200000003E7	75	233.59	229.91	94	92	
02/15/2018 18:50:03 001	02/15/2018 18:50:03	001	0	4	4283100.2	13	73543.3	47	14.3	233.31	2.1723943200000003E7	75	233.73000000000002	230.0	94	92	
02/15/2018 18:50:04 001	02/15/2018 18:50:04	001	1	4	4283100.2	13	73543.3	47	14.3	233.31	2.1723943200000003E7	75	233.73000000000002	230.0	94	92	
02/15/2018 18:50:05 000	02/15/2018 18:50:05	000	0	4	4283100.2	13	73543.3	47	14.3	233.17000000000002	2.1723943200000003E7	75	233.45000000000002	229.82	94	92	
02/15/2018 18:50:06 002	02/15/2018 18:50:06	002	1	4	4283100.2	13	73543.3	47	14.3	233.17000000000002	2.1723943200000003E7	75	233.45000000000002	229.82	94	92	
02/15/2018 18:50:07 000	02/15/2018 18:50:07	000	0	4	4283100.2	13	73543.3	47	14.3	233.55	2.1723943200000003E7	75	233.74	230.21	94	92	
02/15/2018 18:50:08 001	02/15/2018 18:50:08	001	1	4	4283100.2	13	73543.3	47	14.3	233.55	2.1723943200000003E7	75	233.74	230.21	94	92	
02/15/2018 18:50:09 000	02/15/2018 18:50:09	000	0	4	4283100.2	13	73543.3	47	14.3	233.25	2.1723943200000003E7	75	233.49	230.03	94	92	
02/15/2018 18:50:10 001	02/15/2018 18:50:10	001	1	4	4283100.2	13	73543.3	47	14.3	233.25	2.1723943200000003E7	75	233.49	230.03	94	92	
02/15/2018 18:50:11 000	02/15/2018 18:50:11	000	0	4	4283100.2	13	73543.3	47	14.3	233.51	2.1723943200000003E7	75	233.77	230.36	94	92	
02/15/2018 18:50:12 001	02/15/2018 18:50:12	001	1	4	4283100.2	13	73543.3	47	14.3	233.51	2.1723943200000003E7	75	233.77	230.36	94	92	
02/15/2018 18:50:13 000	02/15/2018 18:50:13	000	0	4	4283100.2	13	73543.3	47	14.3	233.23000000000002	2.1723943200000003E7	75	233.57	230.08	94	92	
02/15/2018 18:50:14 001	02/15/2018 18:50:14	001	1	4	4283100.2	13	73543.3	47	14.3	233.23000000000002	2.1723943200000003E7	75	233.57	230.08	94	92	
02/15/2018 18:50:15 000	02/15/2018 18:50:15	000	0	4	4283100.2	13	73543.3	47	14.3	233.36	2.1723943200000003E7	75	233.82	230.20000000000002	94	92	
02/15/2018 18:50:16 001	02/15/2018 18:50:16	001	1	4	4283100.2	13	73543.3	47	14.3	233.36	2.1723943200000003E7	75	233.82	230.20000000000002	94	92	
02/15/2018 18:50:17 000	02/15/2018 18:50:17	000	0	4	4283100.2	13	73543.3	47	14.3	233.26	2.1723943200000003E7	75	233.73000000000002	230.03	94	92	
02/15/2018 18:50:18 000	02/15/2018 18:50:18	000	1	4	4283100.2	13	73543.3	47	14.3	233.26	2.1723943200000003E7	75	233.73000000000002	230.03	94	92	
02/15/2018 18:50:19 001	02/15/2018 18:50:19	001	0	4	4283100.2	13	73543.3	47	14.3	233.57	2.1723943200000003E7	75	233.95000000000002	230.20000000000002	94	92	
02/15/2018 18:50:20 000	02/15/2018 18:50:20	000	1	4	4283100.2	13	73543.3	47	14.3	233.57	2.1723943200000003E7	75	233.95000000000002	230.20000000000002	94	92	
02/15/2018 18:50:21 001	02/15/2018 18:50:21	001	0	4	4283100.2	13	73543.3	47	14.3	233.56	2.1723943200000003E7	75	233.77	230.23000000000002	94	92	
02/15/2018 18:50:22 000	02/15/2018 18:50:22	000	1	4	4283100.2	13	73543.3	47	14.3	233.56	2.1723943200000003E7	75	233.77	230.23000000000002	94	92	
02/15/2018 18:50:23 001	02/15/2018 18:50:23	001	0	4	4283100.2	13	73543.3	47	14.3	233.48000000000002	2.1723943200000003E7	75	233.81	230.3	94	92	
02/15/2018 18:50:24 000	02/15/2018 18:50:24	000	1	4	4283100.2	13	73543.3	47	14.3	233.48000000000002	2.1723943200000003E7	75	233.81	230.3	94	92	
02/15/2018 18:50:25 001	02/15/2018 18:50:25	001	0	4	4283100.2	13	73543.3	47	14.3	233.43	2.1723943200000003E7	75	233.89000000000001	230.35	94	92	
02/15/2018 18:50:26 001	02/15/2018 18:50:26	001	1	4	4283100.2	13	73543.3	47	14.3	233.43	2.1723943200000003E7	75	233.89000000000001	230.35	94	92	
